Quality;Polygons;Lights;Shadows;Particles;IsComplexMaterial;FPS
0;212500;3;1;750;0;3.98
0;212500;3;1;1500;0;3.76
0;212500;3;1;2500;0;3.75
0;212500;3;1;3500;0;3.8
0;212500;6;0;50;0;4.05
0;212500;6;0;250;0;4.09
0;212500;6;0;750;0;4.12
0;212500;6;0;1500;0;3.89
0;212500;6;0;2500;0;4.1
0;212500;6;0;3500;0;4.05
0;212500;6;1;50;0;4.22
0;212500;6;1;250;0;4.1
0;212500;6;1;750;0;4.02
0;212500;6;1;1500;0;4.08
0;212500;6;1;2500;0;3.9
0;212500;6;1;3500;0;3.92
0;212500;10;0;50;0;4.01
0;212500;10;0;250;0;4.29
0;212500;10;0;750;0;4.04
0;212500;10;0;1500;0;4.05
0;212500;10;0;2500;0;3.74
0;212500;10;0;3500;0;3.86
0;212500;10;1;50;0;4.07
0;212500;10;1;250;0;4.0
0;212500;10;1;750;0;3.85
0;212500;10;1;1500;0;4.05
0;212500;10;1;2500;0;3.79
0;212500;10;1;3500;0;3.85
0;212500;14;0;50;0;3.89
0;212500;14;0;250;0;3.88
0;212500;14;0;750;0;4.11
0;212500;14;0;1500;0;3.93
0;212500;14;0;2500;0;3.48
0;212500;14;0;3500;0;4.07
0;212500;14;1;50;0;4.22
0;212500;14;1;250;0;4.08
0;212500;14;1;750;0;4.05
0;212500;14;1;1500;0;4.11
0;212500;14;1;2500;0;3.86
0;212500;14;1;3500;0;3.68
0;212500;20;0;50;0;4.04
0;212500;20;0;250;0;3.98
0;212500;20;0;750;0;3.97
0;212500;20;0;1500;0;4.05
0;212500;20;0;2500;0;3.88
0;212500;20;0;3500;0;4.02
0;212500;20;1;50;0;3.91
0;212500;20;1;250;0;4.06
0;212500;20;1;750;0;3.92
0;212500;20;1;1500;0;3.95
0;212500;20;1;2500;0;3.76
0;212500;20;1;3500;0;3.8
0;300000;3;0;50;0;4.02
0;300000;3;0;250;0;4.16
0;300000;3;0;750;0;4.21
0;300000;3;0;1500;0;3.94
0;300000;3;0;2500;0;4.13
0;300000;3;0;3500;0;4.01
0;300000;3;1;50;0;4.17
0;300000;3;1;250;0;4.25
0;300000;3;1;750;0;4.01
0;300000;3;1;1500;0;3.94
0;300000;3;1;2500;0;3.84
0;300000;3;1;3500;0;3.73
