Quality;Polygons;Lights;Shadows;Particles;IsComplexMaterial;FPS
0;75000;4;0;1000;0;5.75
0;75000;4;0;2000;0;5.96
0;75000;4;0;3000;0;5.96
0;75000;4;1;0;0;5.95
0;75000;4;1;100;0;5.88
0;75000;4;1;500;0;5.82
0;75000;4;1;1000;0;5.82
0;75000;4;1;2000;0;5.37
0;75000;4;1;3000;0;5.80
0;75000;8;0;0;0;5.70
0;75000;8;0;100;0;5.86
0;75000;8;0;500;0;5.82
0;75000;8;0;1000;0;5.58
0;75000;8;0;2000;0;5.93
0;75000;8;0;3000;0;5.34
0;75000;8;1;0;0;6.18
0;75000;8;1;100;0;5.49
0;75000;8;1;500;0;5.88
0;75000;8;1;1000;0;5.53
0;75000;8;1;2000;0;5.61
0;75000;8;1;3000;0;5.66
0;75000;12;0;0;0;5.53
0;75000;12;0;100;0;6.07
0;75000;12;0;500;0;5.81
0;75000;12;0;1000;0;6.03
0;75000;12;0;2000;0;5.60
0;75000;12;0;3000;0;5.88
0;75000;12;1;0;0;5.59
0;75000;12;1;100;0;5.92
0;75000;12;1;500;0;5.83
0;75000;12;1;1000;0;5.58
0;75000;12;1;2000;0;4.95
0;75000;12;1;3000;0;5.61
0;75000;16;0;0;0;5.67
0;75000;16;0;100;0;5.91
0;75000;16;0;500;0;6.07
0;75000;16;0;1000;0;5.70
0;75000;16;0;2000;0;5.82
0;75000;16;0;3000;0;5.00
0;75000;16;1;0;0;5.66
0;75000;16;1;100;0;5.59
0;75000;16;1;500;0;5.54
0;75000;16;1;1000;0;5.62
0;75000;16;1;2000;0;5.61
0;75000;16;1;3000;0;5.48
0;100000;0;0;0;0;2.73
0;100000;0;0;100;0;4.53
0;100000;0;0;500;0;4.49
0;100000;0;0;1000;0;4.10
0;100000;0;0;2000;0;4.00
0;100000;0;0;3000;0;3.81
0;100000;0;1;0;0;4.12
0;100000;0;1;100;0;4.63
0;100000;0;1;500;0;4.44
0;100000;0;1;1000;0;4.50
0;100000;0;1;2000;0;4.51
0;100000;0;1;3000;0;4.30
0;100000;1;0;0;0;4.52
0;100000;1;0;100;0;4.51
0;100000;1;0;500;0;4.47
0;100000;1;0;1000;0;4.11
0;100000;1;0;2000;0;4.44
0;100000;1;0;3000;0;4.33
0;100000;1;1;0;0;4.49
0;100000;1;1;100;0;4.25
0;100000;1;1;500;0;3.83
0;100000;1;1;1000;0;3.74
0;100000;1;1;2000;0;3.60
0;100000;1;1;3000;0;3.90
0;100000;2;0;0;0;4.20
0;100000;2;0;100;0;4.77
0;100000;2;0;500;0;4.83
0;100000;2;0;1000;0;4.56
0;100000;2;0;2000;0;4.36
0;100000;2;0;3000;0;4.27
0;100000;2;1;0;0;3.97
0;100000;2;1;100;0;4.40
0;100000;2;1;500;0;4.37
0;100000;2;1;1000;0;4.54
0;100000;2;1;2000;0;4.54
0;100000;2;1;3000;0;4.33
0;100000;4;0;0;0;4.40
0;100000;4;0;100;0;4.53
0;100000;4;0;500;0;4.43
0;100000;4;0;1000;0;4.25
0;100000;4;0;2000;0;4.34
0;100000;4;0;3000;0;4.41
0;100000;4;1;0;0;4.60
0;100000;4;1;100;0;4.35
0;100000;4;1;500;0;4.47
